UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
2.6274092,-5.2796245,4.9425697,15.233497,6.5919194,17.038673,13.803592,15.190912,2.3341606,-3.5534942,-0.6298802,-2.9844544
2.4817073,-4.8288655,5.327273,14.945132,6.617547,16.408915,13.862505,14.518101,1.9828185,-3.2590992,-0.82234824,-2.7790427
0.11254014,-2.392339,8.5271015,13.90869,10.074282,14.434321,16.766987,12.727724,-1.7157555,-2.9463341,-4.48774,-3.353947
-1.995502,-0.26455766,10.7825365,11.793499,11.717333,12.806147,17.421152,9.805084,-3.7562795,-1.3354605,-6.4462457,-1.8673497
-0.924572,-1.2733467,9.363076,12.827843,10.751012,13.681024,16.806335,10.947349,-2.434546,-1.9985043,-5.058332,-2.3358033
-1.8868141,-4.6180663,9.362387,16.11907,10.993049,16.93837,18.02931,13.984058,-2.5437617,-5.540613,-4.4758377,-5.738654
-3.4453104,-4.758667,11.261195,16.452541,12.520225,17.347649,20.022991,13.3839245,-4.6148167,-5.687575,-6.8650928,-6.171752
-2.7995763,-5.7872295,9.981782,17.50797,11.49344,18.286612,19.261448,14.755766,-3.6278272,-6.7671056,-5.406459,-7.159401
-3.1524737,-2.4665358,11.061305,14.727365,12.5232315,15.826061,18.947258,12.159191,-3.699856,-4.025034,-6.317362,-4.6919875
-3.6187437,0.10979998,11.913568,12.18859,13.129533,13.143611,18.556162,9.729503,-4.4222593,-2.1933496,-7.058691,-2.7371395
1.4090741,-4.0495076,6.5446277,14.840348,8.039048,15.945382,14.976021,14.347179,0.68852895,-3.5386558,-2.1449018,-3.3341932
-2.5253701,-1.03008,11.181722,13.055311,12.15187,13.660217,18.433893,10.350169,-3.9010358,-2.6459084,-8.542016,-3.4706047
-2.257444,-2.7884743,10.365542,14.416418,11.992875,15.578179,18.32246,11.932634,-3.2969067,-3.6927757,-5.667268,-4.158184
-2.8999264,-3.966422,10.185637,15.519728,11.732616,16.297813,18.439493,13.127559,-3.13176,-4.728446,-5.371254,-5.1916337
-1.6588613,-0.987221,9.889278,12.412881,11.333143,13.723866,17.016544,10.771207,-2.6546652,-2.2241952,-5.489737,-2.3863108
-0.37603274,-5.300132,7.749584,16.439234,9.490255,17.412655,17.024897,15.227631,-1.4585907,-6.5332904,-2.8962708,-5.1074615
-3.8384917,-2.214443,11.928731,14.1724615,13.427018,14.639276,19.608562,10.9876585,-4.8647933,-3.3982644,-7.5011377,-4.394194
-2.74335,-3.818929,10.252322,15.577187,11.988536,16.466768,18.48761,13.079275,-3.4629362,-4.8519735,-5.5736623,-5.0266886
-6.6124244,-1.3394191,14.687624,14.06289,15.861217,13.929727,21.22207,9.577648,-7.152659,-2.901901,-9.844594,-3.677318
-0.49391276,-2.4140477,8.619631,13.90786,10.013914,15.011311,16.600445,12.720472,-1.5553725,-3.2449589,-4.2643924,-3.9611533
-1.7093563,-4.349489,9.282359,16.284998,10.982987,16.815508,18.02789,14.045154,-2.595821,-5.798075,-4.7202826,-5.5944176
3.3351896,-4.5522485,4.4988565,14.438992,6.1365805,16.046555,13.316283,14.485859,2.1988304,-2.6826396,-0.5555548,-2.432793
0.45645908,-4.154799,7.3664155,15.414051,8.790192,16.379194,15.780698,14.332913,0.14561607,-4.175576,-2.582434,-3.9913483
-4.176748,-2.6588373,12.238429,15.144605,13.806597,15.472024,20.06573,11.888144,-5.204388,-4.631974,-7.7088294,-5.3117046
-2.2763197,-4.299174,9.860648,15.893222,11.28767,16.570189,18.047009,13.529373,-2.4940956,-4.941158,-4.6977916,-5.3151684
-2.455692,-0.43700594,10.792149,12.433013,12.133908,13.278692,17.486923,10.333038,-3.2184289,-2.0167942,-5.9930325,-2.3097615
-1.1107249,-3.1237788,9.035093,14.615548,10.50021,15.581043,17.0629,12.8610525,-1.6355726,-3.8992429,-4.1288195,-4.296269
-2.2761264,-3.4892964,10.080864,15.122709,11.737872,16.086899,18.311462,13.011526,-2.5554793,-4.711805,-4.8821015,-4.991312
-4.5531106,-3.1864297,12.356987,15.302021,13.856693,15.858158,20.458326,11.7856045,-5.3746166,-4.4801273,-7.7387686,-5.175795
3.3720844,-3.9633126,4.630401,14.016846,6.1048594,15.750505,13.062068,14.2579565,2.0066166,-2.4677112,-0.7732107,-2.1001413
0.31505617,-2.8990614,7.5730186,14.083977,9.178392,15.149682,15.645778,13.162249,-0.56815296,-3.1154597,-3.248804,-3.102123
-1.8326957,-1.5470264,9.94094,13.104766,11.185636,14.147332,17.283922,11.417229,-2.6558235,-2.8590865,-5.239929,-3.010619
-2.8155031,-2.7425466,10.20859,14.677371,12.440722,15.092165,18.520554,12.08637,-3.3799086,-3.8327794,-6.0565786,-4.2161202
