seed,top_genes,ae_latent,clin_latent,cv_mean,cv_std,test_cindex
50,25,8,32,0.6312886664192294,0.04005467696593781,0.658064897103546
50,25,16,16,0.6352075837213211,0.03648415746309419,0.6666272993002451
50,25,16,32,0.6389962854206915,0.027435145836103483,0.6689007647110927
50,50,8,16,0.6471667782197021,0.03212277851669115,0.6536360683811154
50,50,8,32,0.6312174585558961,0.0413531394422128,0.6521597921403053
50,50,16,16,0.6441049032602157,0.028332004164641992,0.6701703622781895
50,50,16,32,0.646107904510814,0.02056017251183844,0.6657120080309428
50,75,8,16,0.6509174572771619,0.010047147959393127,0.6759868906669816
50,75,8,32,0.6462450365523109,0.013094901306654026,0.6764297735392246
50,75,16,16,0.6389855347310205,0.007775765417259908,0.641825858454634
50,75,16,32,0.6362728238174898,0.014277960996039712,0.6749534972984145
100,15,8,16,0.6338152002963258,0.02346709754712038,0.6742177722152691
100,15,8,32,0.6425527930043735,0.025945429246533584,0.632540675844806
100,15,16,16,0.6286301384651846,0.030650197878814137,0.6522841051314142
100,15,16,32,0.641398783864481,0.020150727780014942,0.6568523153942428
100,25,8,16,0.6310416374119454,0.015250099575426205,0.66270337922403
100,25,8,32,0.6198360794786976,0.022864464291024292,0.645369211514393
100,25,16,16,0.6280288385581997,0.0260283420212014,0.6654255319148936
100,25,16,32,0.6477269766072181,0.03261467083493228,0.675531914893617
100,50,8,16,0.6375010420225367,0.029985622181738822,0.6711201501877346
100,50,8,32,0.6228907161948489,0.023565132644154132,0.6439299123904881
100,50,16,16,0.6313012179814301,0.03241727111745493,0.6657384230287859
100,50,16,32,0.6393939379609763,0.03369749773182318,0.6481226533166458
100,75,8,16,0.6338622196859113,0.033818901568370544,0.6725594493116396
100,75,8,32,0.6418756708097838,0.03269156144665796,0.64630788485607
100,75,16,16,0.6198079614196859,0.04421437288874795,0.6387046307884856
100,75,16,32,0.6335092533600302,0.027709813652066363,0.6351376720901126
200,15,8,16,0.6446550287831802,0.03233201793801638,0.6814671814671814
200,15,8,32,0.6422225468731833,0.03720403105751971,0.666023166023166
200,15,16,16,0.6508967115296004,0.031069635778775456,0.6781792953667953
200,15,16,32,0.6417686373374094,0.031778102510151056,0.6654802123552124
200,25,8,16,0.6488978893418819,0.022737023056810975,0.6828245656370656
200,25,8,32,0.6447509924571985,0.04339497411956752,0.6946187258687259
200,25,16,16,0.656335897500995,0.03401665051123252,0.673534025096525
200,25,16,32,0.6451412938883205,0.025700102801214163,0.689460666023166
200,50,8,16,0.6499826595768902,0.02341063815322109,0.6697031853281853
200,50,8,32,0.6599722760028568,0.02321260765765422,0.6974541505791506
200,50,16,16,0.6483870248808097,0.023800051147835257,0.690757722007722
200,50,16,32,0.6500916322641782,0.009722962972815665,0.6770632239382239
200,75,8,16,0.637917892246423,0.03497043108531076,0.6879524613899614
200,75,8,32,0.6414601993006382,0.0295191537321642,0.6798986486486487
200,75,16,16,0.6275785896473742,0.02366963525812905,0.6753438706563707
200,75,16,32,0.6291863111908973,0.03171400194721089,0.6662343146718147
